Day,Power,Power (adjusted)
0,29.89,416.8681269
31,26.98,376.2831068
59,27.97,390.0903817
90,24.78,345.6002738
120,24.67,344.0661321
151,23.38,326.0748346
181,24.13,336.5348913
212,23.58,328.864183
243,24.04,335.2796845
273,25.95,361.9179623
304,26.7,372.378019
334,28.62,399.1557642
365,29.87,416.589192
396,27.37,381.7223363
424,28.35,395.3901437
455,25.18,351.1789707
485,24.75,345.1818715
516,23.44,326.9116391
546,24.48,341.4162511
577,23.55,328.4457808
608,24.23,337.9295655
638,25.58,356.7576676
669,26.82,374.051628
699,27.2,379.3513901
730,28.98,404.1765914
761,27.28,380.4671295
790,27.89,388.9746423
821,25.19,351.3184381
851,23.87,332.9087383
882,23.05,321.4724096
912,23.54,328.3063134
943,23.39,326.214302
974,23.76,331.3745967
1004,25.89,361.0811577
1035,28.16,392.7402627
1065,28.47,397.0637528
1096,29.78,415.3339852
1127,26.18,365.125713
1155,26.34,367.3571917
1186,24.02,335.0007496
1216,24.34,339.4637072
1247,22.76,317.4278544
1277,23.34,325.5169649
1308,23.63,329.5615202
1339,23.76,331.3745967
1369,25.39,354.1077866
1400,27.87,388.6957074
1430,29.4,410.0342231
1461,28.52,397.7610899
1492,27,376.5620417
1520,29.16,406.687005
1551,25.57,356.6182002
1581,23.62,329.4220527
1612,22.41,312.5464946
1642,23.59,329.0036505
1673,23.43,326.7721717
1704,23.3,324.9590952
1734,25.09,349.9237639
1765,27.07,377.5383136
1795,27.82,387.9983703
